['2009.07.1517:00', 1.40834, 1.41031, 1.40834, 1.4103, 1602.0, 0.2],
['2009.07.1516:45', 1.4088, 1.40939, 1.40765, 1.40834, 1557.0, 0.2],
['2009.07.1516:30', 1.41052, 1.4112, 1.40875, 1.4088, 1738.0, 0.2],
['2009.07.1516:15', 1.40831, 1.41081, 1.40765, 1.41051, 1695.0, 0.2],
['2009.07.1516:00', 1.40908, 1.4092, 1.40724, 1.4083, 1636.0, 0.2],
['2009.07.1515:45', 1.40989, 1.41021, 1.40859, 1.4091, 1589.0, 0.2],
['2009.07.1515:30', 1.40905, 1.41025, 1.4077, 1.40988, 1496.0, 0.2],
['2009.07.1515:15', 1.40866, 1.40924, 1.40755, 1.40906, 862.0, 0.2],
['2009.07.1515:00', 1.40927, 1.40979, 1.40839, 1.40852, 1151.0, 0.2],
['2009.07.1514:45', 1.40876, 1.41013, 1.4085, 1.40925, 1612.0, 0.2],
['2009.07.1514:30', 1.40838, 1.40971, 1.40789, 1.40871, 1196.0, 0.2],
['2009.07.1514:15', 1.40871, 1.40924, 1.4078, 1.40841, 900.0, 0.2],
['2009.07.1514:00', 1.40759, 1.40914, 1.40752, 1.40869, 1169.0, 0.2],
['2009.07.1513:45', 1.40807, 1.40844, 1.40669, 1.40758, 1195.0, 0.2],
['2009.07.1513:30', 1.40648, 1.40853, 1.40625, 1.4081, 1070.0, 0.2],
['2009.07.1513:15', 1.40702, 1.40716, 1.40579, 1.40646, 881.0, 0.2],
['2009.07.1513:00', 1.40773, 1.40795, 1.40657, 1.40703, 1012.0, 0.2],
['2009.07.1512:45', 1.40587, 1.40821, 1.40554, 1.40811, 970.0, 0.2],
['2009.07.1512:30', 1.40626, 1.40626, 1.4054, 1.40585, 841.0, 0.2],
['2009.07.1512:15', 1.4051, 1.40632, 1.40488, 1.40626, 845.0, 0.2],
['2009.07.1512:00', 1.40583, 1.40629, 1.40514, 1.40515, 883.0, 0.2],
['2009.07.1511:45', 1.40601, 1.40621, 1.4054, 1.40585, 528.0, 0.2],
['2009.07.1511:30', 1.40627, 1.40633, 1.4058, 1.40601, 795.0, 0.2],
['2009.07.1511:15', 1.40575, 1.40664, 1.40565, 1.40629, 948.0, 0.2],
['2009.07.1511:00', 1.40454, 1.40585, 1.40409, 1.40575, 787.0, 0.2],
['2009.07.1510:45', 1.40432, 1.4047, 1.40385, 1.40451, 793.0, 0.2],
['2009.07.1510:30', 1.40551, 1.40576, 1.40432, 1.40439, 969.0, 0.2],
['2009.07.1510:15', 1.40477, 1.40558, 1.40435, 1.4055, 1092.0, 0.2],
['2009.07.1510:00', 1.40492, 1.40529, 1.40377, 1.40477, 997.0, 0.2],
['2009.07.1509:45', 1.4051, 1.40535, 1.40471, 1.4049, 826.0, 0.2],
['2009.07.1509:30', 1.40477, 1.40575, 1.40441, 1.40508, 1323.0, 0.2],
['2009.07.1509:15', 1.40593, 1.40659, 1.40461, 1.40478, 1355.0, 0.2],
['2009.07.1509:00', 1.40562, 1.40666, 1.4052, 1.40595, 1318.0, 0.2],
['2009.07.1508:45', 1.40352, 1.40697, 1.40352, 1.40563, 1689.0, 0.2],
['2009.07.1508:30', 1.40355, 1.40395, 1.40239, 1.40351, 1351.0, 0.2],
['2009.07.1508:15', 1.40283, 1.40427, 1.40278, 1.40354, 1471.0, 0.2],
['2009.07.1508:00', 1.39991, 1.40284, 1.39978, 1.40284, 1448.0, 0.2],
['2009.07.1507:45', 1.39949, 1.40017, 1.39926, 1.39994, 885.0, 0.2],
['2009.07.1507:30', 1.39784, 1.39951, 1.3978, 1.39951, 769.0, 0.2],
['2009.07.1507:15', 1.39817, 1.39848, 1.39767, 1.39784, 520.0, 1],
['2009.07.1507:00', 1.3986, 1.39866, 1.39797, 1.39817, 512.0, 1],
['2009.07.1506:45', 1.39848, 1.39868, 1.39811, 1.3986, 554.0, 1],
['2009.07.1506:30', 1.39839, 1.3985, 1.398, 1.3985, 503.0, 1],
['2009.07.1506:15', 1.39856, 1.39876, 1.39819, 1.3984, 371.0, 1],
['2009.07.1506:00', 1.39819, 1.39855, 1.39811, 1.39855, 267.0, 1],
['2009.07.1505:45', 1.39875, 1.3988, 1.39823, 1.39824, 445.0, 1],
['2009.07.1505:30', 1.39873, 1.39876, 1.39834, 1.39876, 299.0, 1],
['2009.07.1505:15', 1.39831, 1.39881, 1.39807, 1.39872, 201.0, 1],
['2009.07.1505:00', 1.3985, 1.3985, 1.39786, 1.39835, 155.0, 1],
['2009.07.1504:45', 1.39781, 1.39852, 1.39747, 1.39852, 151.0, 1],
['2009.07.1504:30', 1.39816, 1.39818, 1.39755, 1.39788, 228.0, 1],
['2009.07.1504:15', 1.39798, 1.39838, 1.39789, 1.39815, 200.0, 1],
['2009.07.1504:00', 1.39829, 1.39859, 1.39781, 1.39791, 267.0, 1],
['2009.07.1503:45', 1.39806, 1.39849, 1.39775, 1.39833, 220.0, 1],
['2009.07.1503:30', 1.39767, 1.39851, 1.39751, 1.39791, 198.0, 1],
['2009.07.1503:15', 1.3977, 1.39786, 1.39721, 1.39756, 223.0, 1],
